A1B2C3D4E5, Federacion de Futbol Amateur
F5G6H7I8J9, Federacion Internacional de Baloncesto
K1L2M3N4O5, Federacion Mundial de Atletismo
P6Q7R8S9T1, Federacion Internacional de Natacion
U2V3W4X5Y6, Federacion de Golf Profesional
Z7A8B9C1D2, Federacion de Tenis de Mesa
E3F4G5H6I7, Federacion Internacional de Voleibol
J8K9L1M2N3, Federacion de Hockey sobre Hielo
O4P5Q6R7S8, Federacion de Esgrima
T9U1V2W3X4, Federacion Mundial de Rugby
Y5Z6A7B8C9, Federacion de Ciclismo
D1E2F3G4H5, Federacion de Levantamiento de Pesas
I6J7K8L9M1, Federacion Internacional de Boxeo
N2O3P4Q5R6, Federacion de Ajedrez
S7T8U9V1W2, Federacion de Taekwondo
X3Y4Z5A6B7, Federacion de Badminton
C8D9E1F2G3, Federacion de Lucha Libre
H4I5J6K7L8, Federacion de Arqueria
M9N1O2P3Q4, Federacion de Billar
R5S6T7U8V9, Federacion de Squash
