A1B2C3D4E5, Federación de Fútbol Amateur
F5G6H7I8J9, Federación Internacional de Baloncesto
K1L2M3N4O5, Federación Mundial de Atletismo
P6Q7R8S9T1, Federación Internacional de Natación
U2V3W4X5Y6, Federación de Golf Profesional
Z7A8B9C1D2, Federación de Tenis de Mesa
E3F4G5H6I7, Federación Internacional de Voleibol
J8K9L1M2N3, Federación de Hockey sobre Hielo
O4P5Q6R7S8, Federación de Esgrima
T9U1V2W3X4, Federación Mundial de Rugby
Y5Z6A7B8C9, Federación de Ciclismo
D1E2F3G4H5, Federación de Levantamiento de Pesas
I6J7K8L9M1, Federación Internacional de Boxeo
N2O3P4Q5R6, Federación de Ajedrez
S7T8U9V1W2, Federación de Taekwondo
X3Y4Z5A6B7, Federación de Bádminton
C8D9E1F2G3, Federación de Lucha Libre
H4I5J6K7L8, Federación de Arquería
M9N1O2P3Q4, Federación de Billar
R5S6T7U8V9, Federación de Squash
